DEBUG , 25 , 2023-08-17 09:27:07,030 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/day05/target/day05-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 32 , 2023-08-17 09:27:07,585 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:07,585 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:07,588 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:07,588 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:07,588 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:07,588 , main
DEBUG , 32 , 2023-08-17 09:27:08,249 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:08,250 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:08,251 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:08,251 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:08,251 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:08,251 , main
DEBUG , 32 , 2023-08-17 09:27:08,303 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:08,304 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:08,306 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:08,307 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:08,307 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:08,307 , main
DEBUG , 32 , 2023-08-17 09:27:08,425 , doFilter----/favicon.ico
DEBUG , 35 , 2023-08-17 09:27:08,425 , doFilter----/favicon.ico
DEBUG , 25 , 2023-08-17 09:27:14,517 , Log4J Logging started: /Users/chaeminlee/Documents/LotteBitWorkspace/bit2023/day05/target/day05-1.0-SNAPSHOT/WEB-INF/log4j.properties
DEBUG , 32 , 2023-08-17 09:27:14,584 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:14,585 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:14,587 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:14,587 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:14,588 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:14,588 , main
DEBUG , 32 , 2023-08-17 09:27:15,294 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:15,294 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:15,295 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:15,295 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:15,295 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:15,295 , main
DEBUG , 32 , 2023-08-17 09:27:15,339 , doFilter----/
DEBUG , 35 , 2023-08-17 09:27:15,339 , doFilter----/
DEBUG , 32 , 2023-08-17 09:27:15,343 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:15,344 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:15,344 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:15,344 , main
DEBUG , 32 , 2023-08-17 09:27:22,745 , doFilter----/js.bit
DEBUG , 35 , 2023-08-17 09:27:22,746 , doFilter----/js.bit
DEBUG , 27 , 2023-08-17 09:27:22,746 , /js.bit
DEBUG , 29 , 2023-08-17 09:27:22,746 , js
DEBUG , 32 , 2023-08-17 09:27:23,930 , doFilter----/js.bit
DEBUG , 35 , 2023-08-17 09:27:23,932 , doFilter----/js.bit
DEBUG , 27 , 2023-08-17 09:27:23,933 , /js.bit
DEBUG , 29 , 2023-08-17 09:27:23,933 , js
DEBUG , 32 , 2023-08-17 09:27:24,943 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:24,944 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:24,944 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:24,944 , main
DEBUG , 32 , 2023-08-17 09:27:27,047 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:27:27,049 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:27:27,050 , /main.bit
DEBUG , 29 , 2023-08-17 09:27:27,051 , main
DEBUG , 32 , 2023-08-17 09:28:53,064 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:28:53,066 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:28:53,066 , /main.bit
DEBUG , 29 , 2023-08-17 09:28:53,066 , main
DEBUG , 32 , 2023-08-17 09:30:59,803 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:30:59,803 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:30:59,803 , /main.bit
DEBUG , 29 , 2023-08-17 09:30:59,803 , main
DEBUG , 32 , 2023-08-17 09:32:53,738 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:32:53,738 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:32:53,738 , /main.bit
DEBUG , 29 , 2023-08-17 09:32:53,738 , main
DEBUG , 32 , 2023-08-17 09:33:05,671 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:33:05,671 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:33:05,671 , /main.bit
DEBUG , 29 , 2023-08-17 09:33:05,671 , main
DEBUG , 32 , 2023-08-17 09:33:42,222 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:33:42,223 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:33:42,223 , /main.bit
DEBUG , 29 , 2023-08-17 09:33:42,223 , main
DEBUG , 32 , 2023-08-17 09:33:43,607 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:33:43,607 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:33:43,608 , /main.bit
DEBUG , 29 , 2023-08-17 09:33:43,608 , main
DEBUG , 32 , 2023-08-17 09:34:35,372 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:35,373 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:35,373 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:35,373 , main
DEBUG , 32 , 2023-08-17 09:34:36,999 , doFilter----/js.bit
DEBUG , 35 , 2023-08-17 09:34:37,000 , doFilter----/js.bit
DEBUG , 27 , 2023-08-17 09:34:37,001 , /js.bit
DEBUG , 29 , 2023-08-17 09:34:37,001 , js
DEBUG , 32 , 2023-08-17 09:34:37,411 , doFilter----/js.bit
DEBUG , 35 , 2023-08-17 09:34:37,411 , doFilter----/js.bit
DEBUG , 27 , 2023-08-17 09:34:37,411 , /js.bit
DEBUG , 29 , 2023-08-17 09:34:37,411 , js
DEBUG , 32 , 2023-08-17 09:34:37,870 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:37,870 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:37,870 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:37,871 , main
DEBUG , 32 , 2023-08-17 09:34:38,919 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:38,920 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:38,920 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:38,920 , main
DEBUG , 32 , 2023-08-17 09:34:39,657 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:39,658 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:39,658 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:39,658 , main
DEBUG , 32 , 2023-08-17 09:34:40,195 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:40,195 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:40,195 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:40,195 , main
DEBUG , 32 , 2023-08-17 09:34:40,687 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:40,688 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:40,688 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:40,688 , main
DEBUG , 32 , 2023-08-17 09:34:41,175 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:34:41,176 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:34:41,176 , /main.bit
DEBUG , 29 , 2023-08-17 09:34:41,176 , main
DEBUG , 32 , 2023-08-17 09:41:29,054 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:41:29,054 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:41:29,054 , /main.bit
DEBUG , 29 , 2023-08-17 09:41:29,054 , main
DEBUG , 32 , 2023-08-17 09:43:07,715 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:43:07,716 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:43:07,716 , /main.bit
DEBUG , 29 , 2023-08-17 09:43:07,717 , main
DEBUG , 32 , 2023-08-17 09:44:56,540 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:44:56,541 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:44:56,541 , /main.bit
DEBUG , 29 , 2023-08-17 09:44:56,541 , main
DEBUG , 32 , 2023-08-17 09:45:28,385 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:45:28,386 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:45:28,386 , /main.bit
DEBUG , 29 , 2023-08-17 09:45:28,386 , main
DEBUG , 32 , 2023-08-17 09:45:30,082 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:30,083 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:30,083 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:30,083 , rest
DEBUG , 32 , 2023-08-17 09:45:30,235 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:30,236 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:30,236 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:30,236 , rest
DEBUG , 32 , 2023-08-17 09:45:30,255 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:30,255 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:30,255 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:30,255 , rest
DEBUG , 32 , 2023-08-17 09:45:30,299 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:30,299 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:30,299 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:30,300 , rest
DEBUG , 32 , 2023-08-17 09:45:31,827 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:31,828 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:31,828 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:31,828 , rest
DEBUG , 32 , 2023-08-17 09:45:31,882 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:45:31,883 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:45:31,884 , /rest.bit
DEBUG , 29 , 2023-08-17 09:45:31,884 , rest
DEBUG , 32 , 2023-08-17 09:55:09,886 , doFilter----/main.bit
DEBUG , 35 , 2023-08-17 09:55:09,887 , doFilter----/main.bit
DEBUG , 27 , 2023-08-17 09:55:09,887 , /main.bit
DEBUG , 29 , 2023-08-17 09:55:09,887 , main
DEBUG , 32 , 2023-08-17 09:58:17,607 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:58:17,607 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:58:17,607 , /rest.bit
DEBUG , 29 , 2023-08-17 09:58:17,607 , rest
DEBUG , 32 , 2023-08-17 09:58:17,685 , doFilter----/rest.bit
DEBUG , 35 , 2023-08-17 09:58:17,685 , doFilter----/rest.bit
DEBUG , 27 , 2023-08-17 09:58:17,685 , /rest.bit
DEBUG , 29 , 2023-08-17 09:58:17,685 , rest
DEBUG , 32 , 2023-08-17 09:58:17,688 , doFilter----/rest.bit
